Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
9106;Boudreau - Auber;OUI;14;0;14;10;4;OUI;OUI;2020-12-07T13:25:00+01:00;48.87219,2.329423;Paris;
17010;Jonquière - Docteur Paul Brousse;OUI;40;37;2;1;1;OUI;OUI;2020-12-07T13:24:15+01:00;48.8947998167,2.31870521217;Paris;
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;25;5;2;3;OUI;OUI;2020-12-07T13:26:33+01:00;48.8756426475,2.35945880413;Paris;
14002;Edgar Quinet - Raspail;OUI;46;38;8;4;4;OUI;OUI;2020-12-07T13:24:54+01:00;48.8394026667,2.32971478254;Paris;
17040;Pereire - Ternes;OUI;48;45;3;1;2;OUI;OUI;2020-12-07T13:19:49+01:00;48.8797395483,2.28801213205;Paris;
5005;Gay Lussac - Saint-Jacques;OUI;24;12;12;3;9;OUI;OUI;2020-12-07T13:26:45+01:00;48.8447302561,2.34192394487;Paris;
9038;Douai - Bruxelles;OUI;27;24;3;1;2;OUI;OUI;2020-12-07T13:24:21+01:00;48.8832078412,2.3308449949;Paris;
43009;Place Jean-Spire-Lemaître;OUI;50;49;2;1;1;OUI;OUI;2020-12-07T13:25:44+01:00;48.8468428627,2.45206207037;Vincennes;
1001;Quai de l'Horloge - Pont Neuf;OUI;17;9;7;3;4;OUI;OUI;2020-12-07T13:26:51+01:00;48.8570587391,2.34179828394;Paris;
9001;Bellefond - Poissonnière;OUI;17;15;2;1;1;OUI;OUI;2020-12-07T13:25:17+01:00;48.8775989705,2.34846375883;Paris;
31103;Gare Rosny-Bois-Perrier;OUI;36;11;25;9;16;OUI;OUI;2020-12-07T13:26:26+01:00;48.8811502334,2.48043682426;Rosny-sous-Bois;
8016;Square Louis XVI;OUI;29;0;28;16;12;OUI;OUI;2020-12-07T13:22:52+01:00;48.873204401,2.32365883074;Paris;
